granularity,quantile,feature,importance
campaign,0.1,week_of_year,274
campaign,0.1,quarter,4
campaign,0.1,is_weekend,1
campaign,0.1,roas,2176
campaign,0.1,cpc,843
campaign,0.1,cvr,773
campaign,0.1,budget_utilization,304
campaign,0.1,days_since_campaign_start,309
campaign,0.1,revenue_roll_7d_mean,509
campaign,0.1,revenue_roll_7d_std,270
campaign,0.1,spend_roll_7d_mean,370
campaign,0.1,spend_roll_7d_std,337
campaign,0.1,roas_roll_7d_mean,256
campaign,0.1,clicks_roll_7d_mean,741
campaign,0.1,revenue_roll_14d_mean,224
campaign,0.1,revenue_roll_14d_std,136
campaign,0.1,spend_roll_14d_mean,280
campaign,0.1,spend_roll_14d_std,273
campaign,0.1,roas_roll_14d_mean,168
campaign,0.1,clicks_roll_14d_mean,684
campaign,0.1,revenue_roll_30d_mean,189
campaign,0.1,revenue_roll_30d_std,144
campaign,0.1,spend_roll_30d_mean,189
campaign,0.1,spend_roll_30d_std,208
campaign,0.1,roas_roll_30d_mean,133
campaign,0.1,clicks_roll_30d_mean,378
campaign,0.1,revenue_momentum,199
campaign,0.1,spend_momentum,298
campaign,0.5,channel,145
campaign,0.5,campaign_type,20
campaign,0.5,campaign_name,160
campaign,0.5,spend,1508
campaign,0.5,clicks,1029
campaign,0.5,impressions,326
campaign,0.5,daily_budget,306
campaign,0.5,month,47
campaign,0.5,day_of_week,43
campaign,0.5,week_of_year,119
campaign,0.5,quarter,0
campaign,0.5,is_weekend,2
campaign,0.5,roas,1634
campaign,0.5,cpc,513
campaign,0.5,cvr,498
campaign,0.5,budget_utilization,396
campaign,0.5,days_since_campaign_start,238
campaign,0.5,revenue_roll_7d_mean,812
campaign,0.5,revenue_roll_7d_std,568
campaign,0.5,spend_roll_7d_mean,420
campaign,0.5,spend_roll_7d_std,260
campaign,0.5,roas_roll_7d_mean,321
campaign,0.5,clicks_roll_7d_mean,526
campaign,0.5,revenue_roll_14d_mean,263
campaign,0.5,revenue_roll_14d_std,203
campaign,0.5,spend_roll_14d_mean,462
